#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-38C0CE71DCC7EEA3-36894F96905DCF6A
#datatype	hits Concise data(Superfamily only)
#status	0
#Start time	2012-05-24T16:59:24	Run time	0:12:57:43
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#704 - >WHL22.167926.1	superfamily	201995	257	310	1.13296e-08	52.3557	cl15979	TIL superfamily	 - 	 - 
Q#704 - >WHL22.167926.1	superfamily	199384	311	366	2.50722e-08	51.4639	cl02515	VWC superfamily	 - 	 - 
Q#705 - >WHL22.240748.0	superfamily	190710	13	156	1.01688e-66	209.979	cl04206	UPF0183 superfamily	C	 - 
Q#706 - >WHL22.251877.0	superfamily	207615	95	332	1.97092e-13	67.3842	cl02495	RabGAP-TBC superfamily	 - 	 - 
Q#707 - >WHL22.617262.0	superfamily	144445	397	623	1.90061e-63	215.645	cl02988	Glyco_transf_10 superfamily	N	 - 
Q#708 - >WHL22.331378.0	superfamily	211468	792	894	8.42758e-08	51.5048	cl15770	TIR_2 superfamily	N	 - 
Q#708 - >WHL22.331378.0	superfamily	207589	71	90	0.00644448	35.7564	cl02423	LRRNT superfamily	N	 - 
Q#709 - >WHL22.739059.1	superfamily	207660	100	173	2.09639e-18	78.0196	cl02586	RRM superfamily	 - 	 - 
Q#709 - >WHL22.739059.1	superfamily	207660	7	81	2.53277e-12	61.4561	cl02586	RRM superfamily	 - 	 - 
Q#710 - >WHL22.408059.0	superfamily	212199	165	232	4.6356e-11	59.2053	cl00357	NAT_SF superfamily	 - 	 - 
Q#711 - >WHL22.509645.0	superfamily	212311	1	166	2.83707e-89	271	cl11394	Glyco_tranf_GTA_type superfamily	N	 - 
Q#711 - >WHL22.509645.0	superfamily	210220	179	298	3.04628e-26	101.007	cl15820	RICIN superfamily	 - 	 - 
Q#712 - >WHL22.232790.0	superfamily	212302	9	282	9.86269e-113	333.852	cl09931	NADB_Rossmann superfamily	 - 	 - 
Q#714 - >WHL22.60387.0	superfamily	212291	48	182	5.66692e-21	87.2015	cl09099	P-loop_NTPase superfamily	 - 	 - 
Q#714 - >WHL22.60387.0	superfamily	203973	253	341	1.59389e-26	101.044	cl16006	Rep_fac_C superfamily	 - 	 - 
Q#716 - >WHL22.464690.0	superfamily	198567	85	131	4.88888e-17	71.4491	cl00295	ZZ superfamily	 - 	 - 
Q#716 - >WHL22.464690.0	superfamily	115363	7	76	6.78261e-19	77.0269	cl05972	MIB_HERC2 superfamily	 - 	 - 
Q#717 - >WHL22.258786.1	superfamily	206947	373	468	1.10465e-41	146.23	cl00273	PH-like superfamily	 - 	 - 
Q#717 - >WHL22.258786.1	superfamily	207652	155	341	3.93975e-40	144.678	cl02571	RhoGEF superfamily	 - 	 - 
Q#717 - >WHL22.258786.1	superfamily	206947	539	630	1.40993e-12	64.4419	cl00273	PH-like superfamily	 - 	 - 
Q#718 - >WHL22.544172.0	superfamily	207682	87	202	1.76165e-26	100.008	cl02637	TFIIS_M superfamily	 - 	 - 
Q#718 - >WHL22.544172.0	superfamily	207668	214	248	1.39882e-15	67.987	cl02609	TFIIS_C superfamily	 - 	 - 
Q#718 - >WHL22.544172.0	superfamily	206859	1	30	0.00012886	38.2696	cl00146	TFIIS_I superfamily	N	 - 
Q#719 - >WHL22.287979.1	superfamily	210155	900	965	1.03985e-32	122.427	cl15755	SAM_superfamily superfamily	 - 	 - 
Q#719 - >WHL22.287979.1	superfamily	206846	57	150	1.87254e-14	70.6518	cl00117	PDZ superfamily	 - 	 - 
Q#721 - >WHL22.335914.0	superfamily	206834	81	119	2.0629e-08	46.8239	cl00097	KAZAL_FS superfamily	 - 	 - 
Q#722 - >WHL22.132614.0	superfamily	209297	127	441	1.20689e-136	397.277	cl11393	Peptidase_M14_like superfamily	 - 	 - 
Q#722 - >WHL22.132614.0	superfamily	190256	26	101	7.79898e-16	72.2315	cl03496	Propep_M14 superfamily	 - 	 - 
Q#723 - >WHL22.106091.0	superfamily	199489	19	71	5.07113e-13	64.9183	cl15278	TSP_1 superfamily	 - 	 - 
Q#723 - >WHL22.106091.0	superfamily	199489	549	603	0.00147862	37.184	cl15278	TSP_1 superfamily	 - 	 - 
Q#726 - >WHL22.471603.0	superfamily	206852	42	177	2.94482e-30	109.995	cl00133	SCP superfamily	 - 	 - 
Q#727 - >WHL22.15174.0	superfamily	209301	396	585	3.90376e-70	226.792	cl11397	NR_LBD superfamily	 - 	 - 
Q#727 - >WHL22.15174.0	superfamily	207662	196	273	3.04417e-51	171.878	cl02596	NR_DBD_like superfamily	 - 	 - 
Q#728 - >WHL22.497032.0	superfamily	209904	1	117	1.43056e-57	185.124	cl14812	PIN_SF superfamily	C	 - 
Q#730 - >WHL22.737287.0	superfamily	207648	210	525	5.91101e-23	98.1435	cl02567	WD40 superfamily	 - 	 - 
Q#731 - >WHL22.451169.0	superfamily	210179	41	123	8.96069e-07	45.8143	cl15779	SANT superfamily	 - 	 - 
Q#732 - >WHL22.319712.0	superfamily	207596	1	50	2.55435e-25	98.1321	cl02446	MATH superfamily	N	 - 
Q#732 - >WHL22.319712.0	superfamily	207624	74	178	4.87447e-31	112.336	cl02518	BTB superfamily	 - 	 - 
Q#733 - >WHL22.304115.0	superfamily	207622	33	230	6.52045e-20	83.8062	cl02512	NTR_like superfamily	 - 	 - 
Q#734 - >WHL22.345336.0	superfamily	212270	221	253	0.000732087	36.7726	cl03252	PPR superfamily	 - 	 - 
Q#735 - >WHL22.645219.0	superfamily	211508	320	393	1.49257e-06	46.6357	cl09101	E_set superfamily	 - 	 - 
Q#735 - >WHL22.645219.0	superfamily	211508	9	87	2.36312e-06	45.8653	cl09101	E_set superfamily	 - 	 - 
Q#736 - >WHL22.477321.1	superfamily	206835	357	419	6.84727e-09	53.2796	cl00098	KH-II superfamily	 - 	 - 
Q#736 - >WHL22.477321.1	superfamily	199386	508	559	0.000446487	38.7941	cl02573	TUDOR superfamily	 - 	 - 
Q#738 - >WHL22.416124.1	superfamily	212291	19	145	1.52696e-21	87.2988	cl09099	P-loop_NTPase superfamily	C	 - 
Q#739 - >WHL22.325564.0	superfamily	210079	18	63	4.63419e-06	44.693	cl15348	RING superfamily	 - 	 - 
Q#739 - >WHL22.325564.0	superfamily	206793	114	149	0.00334187	35.9199	cl00034	BBOX superfamily	 - 	 - 
Q#740 - >WHL22.750402.1	superfamily	197427	61	394	3.12715e-78	251.65	cl02915	Voltage_gated_ClC superfamily	C	 - 
Q#741 - >WHL22.414905.0	superfamily	212291	593	783	1.08193e-91	294.682	cl09099	P-loop_NTPase superfamily	 - 	 - 
Q#741 - >WHL22.414905.0	superfamily	212291	1218	1312	3.34034e-35	135.6	cl09099	P-loop_NTPase superfamily	C	 - 
Q#741 - >WHL22.414905.0	superfamily	207103	889	1168	1.09147e-21	96.5934	cl00549	ABC_membrane superfamily	 - 	 - 
Q#741 - >WHL22.414905.0	superfamily	207103	211	480	0.000846364	41.5098	cl00549	ABC_membrane superfamily	 - 	 - 
Q#742 - >WHL22.683936.0	superfamily	191346	4	217	2.79476e-76	233.123	cl05325	BCAS2 superfamily	 - 	 - 
Q#743 - >WHL22.219721.0	superfamily	206838	192	344	1.25788e-28	110.167	cl00102	LamG superfamily	 - 	 - 
Q#743 - >WHL22.219721.0	superfamily	200610	412	477	1.59227e-07	48.941	cl00070	GHB_like superfamily	 - 	 - 
Q#743 - >WHL22.219721.0	superfamily	209104	67	105	1.52016e-05	42.5655	cl09941	EGF_CA superfamily	 - 	 - 
Q#743 - >WHL22.219721.0	superfamily	209104	29	65	0.000204261	39.0987	cl09941	EGF_CA superfamily	 - 	 - 
Q#743 - >WHL22.219721.0	superfamily	209104	1	27	0.00784829	34.4763	cl09941	EGF_CA superfamily	N	 - 
Q#744 - >WHL22.653834.0	superfamily	202473	32	239	4.62527e-79	251.398	cl03788	Neur_chan_LBD superfamily	 - 	 - 
Q#744 - >WHL22.653834.0	superfamily	202474	246	399	1.14808e-38	142.022	cl08379	Neur_chan_memb superfamily	C	 - 
Q#744 - >WHL22.653834.0	superfamily	202474	538	569	6.76219e-06	46.4929	cl08379	Neur_chan_memb superfamily	N	 - 
Q#749 - >WHL22.197044.0	superfamily	206969	14	283	4.22796e-163	457.5	cl00304	CobJ superfamily	 - 	 - 
Q#751 - >WHL22.675344.0	superfamily	212314	18	153	6.85863e-06	44.9973	cl11420	MFS superfamily	C	 - 
Q#752 - >WHL22.715113.2	superfamily	212302	109	135	0.00158614	37.0664	cl09931	NADB_Rossmann superfamily	NC	 - 
Q#754 - >WHL22.617259.3	superfamily	207482	52	362	3.6342e-126	375.099	cl01801	Bac_rhamnosid superfamily	C	 - 
Q#756 - >WHL22.387312.0	superfamily	146767	274	419	1.48066e-19	86.8011	cl08416	FBA superfamily	 - 	 - 
Q#756 - >WHL22.387312.0	superfamily	205451	514	577	0.00669946	35.2467	cl16203	DUF4062 superfamily	C	 - 
Q#756 - >WHL22.387312.0	superfamily	212286	450	546	0.00866542	35.3118	cl07975	ATP-synt_B superfamily	N	 - 
Q#761 - >WHL22.510891.0	superfamily	202686	13	122	3.012e-05	41.2461	cl15988	Sulfotransfer_2 superfamily	N	 - 
Q#762 - >WHL22.684082.0	superfamily	198523	1	259	2.53315e-163	495.803	cl00119	PI3Kc_like superfamily	 - 	 - 
Q#764 - >WHL22.361338.0	superfamily	207532	263	363	6.06508e-18	78.7975	cl02111	PCI superfamily	 - 	 - 
Q#766 - >WHL22.580521.0	superfamily	212363	19	118	0.000148668	38.7935	cl14603	C2 superfamily	N	 - 
Q#768 - >WHL22.150450.2	superfamily	206862	2	213	1.59159e-83	250.624	cl00149	Tryp_SPc superfamily	 - 	 - 
Q#769 - >WHL22.654837.0	superfamily	194354	258	373	2.60906e-08	53.7231	cl02553	Peptidase_C19 superfamily	C	 - 
Q#770 - >WHL22.623802.0	superfamily	212301	150	403	2.54837e-50	172.336	cl09925	PKc_like superfamily	 - 	 - 
Q#770 - >WHL22.623802.0	superfamily	209876	10	48	2.43423e-08	51.2594	cl14633	DD_superfamily superfamily	N	 - 
Q#771 - >WHL22.571219.0	superfamily	207884	724	761	1.76539e-07	48.9665	cl03225	GRIP superfamily	 - 	 - 
Q#772 - >WHL22.250831.0	superfamily	197427	92	143	2.85123e-15	70.9749	cl02915	Voltage_gated_ClC superfamily	C	 - 
Q#773 - >WHL22.239148.0	superfamily	210052	53	256	2.03408e-13	66.0887	cl15243	HemeO superfamily	 - 	 - 
Q#775 - >WHL22.369453.2	superfamily	194354	995	1180	3.76579e-70	235.168	cl02553	Peptidase_C19 superfamily	 - 	 - 
Q#775 - >WHL22.369453.2	superfamily	194354	851	880	1.98231e-07	51.8131	cl02553	Peptidase_C19 superfamily	C	 - 
Q#775 - >WHL22.369453.2	superfamily	117535	4	112	1.10964e-21	92.6024	cl07540	DUF1873 superfamily	 - 	 - 
Q#775 - >WHL22.369453.2	superfamily	206869	694	725	3.67593e-06	45.6695	cl00157	WW superfamily	 - 	 - 
Q#775 - >WHL22.369453.2	superfamily	212175	178	293	0.00106259	39.0164	cl00125	RHOD superfamily	 - 	 - 
Q#777 - >WHL22.335834.0	superfamily	204186	343	476	2.41437e-21	90.8661	cl07783	Rubis-subs-bind superfamily	 - 	 - 
Q#777 - >WHL22.335834.0	superfamily	207647	229	314	0.000145108	40.9372	cl02566	SET superfamily	N	 - 
Q#778 - >WHL22.682558.0	superfamily	206866	74	212	2.29874e-57	180.44	cl00154	UBCc superfamily	 - 	 - 
Q#781 - >WHL22.188406.0	superfamily	207845	27	264	6.57976e-75	232.176	cl03120	ELO superfamily	 - 	 - 
Q#783 - >WHL22.456017.0	superfamily	207532	8	165	1.27618e-33	123.224	cl02111	PCI superfamily	C	 - 
Q#785 - >WHL22.755046.1	superfamily	207299	90	377	3.99652e-106	319.176	cl01053	SGNH_hydrolase superfamily	 - 	 - 
Q#786 - >WHL22.546970.1	superfamily	209144	11	132	9.38378e-12	60.9427	cl10460	Sulfatase superfamily	N	 - 
Q#787 - >WHL22.188379.2	superfamily	207845	1	140	4.76327e-49	160.914	cl03120	ELO superfamily	N	 - 
Q#789 - >WHL22.198938.2	superfamily	209398	4	45	1.02986e-16	72.5268	cl11960	Ig superfamily	N	 - 
Q#789 - >WHL22.198938.2	superfamily	206813	45	135	1.99049e-13	63.4216	cl00065	FN3 superfamily	 - 	 - 
Q#789 - >WHL22.198938.2	superfamily	206813	148	240	4.42091e-06	43.006	cl00065	FN3 superfamily	 - 	 - 
Q#790 - >WHL22.85106.1	superfamily	212175	200	319	8.00242e-33	119.192	cl00125	RHOD superfamily	 - 	 - 
Q#790 - >WHL22.85106.1	superfamily	212175	50	173	7.73062e-31	113.772	cl00125	RHOD superfamily	 - 	 - 
Q#791 - >WHL22.239622.0	superfamily	208096	198	271	2.63521e-17	74.292	cl04085	uDENN superfamily	 - 	 - 
Q#792 - >WHL22.180326.0	superfamily	207741	133	396	2.95289e-50	174.763	cl02808	RT_like superfamily	 - 	 - 
Q#795 - >WHL22.237823.0	superfamily	206812	106	289	3.83721e-79	252.076	cl00064	ZnMc superfamily	 - 	 - 
Q#795 - >WHL22.237823.0	superfamily	210239	341	375	0.000186711	39.6691	cl15839	ShK superfamily	 - 	 - 
Q#795 - >WHL22.237823.0	superfamily	210239	438	472	0.000929139	37.7431	cl15839	ShK superfamily	 - 	 - 
Q#795 - >WHL22.237823.0	superfamily	210239	390	424	0.00269866	36.2023	cl15839	ShK superfamily	 - 	 - 
Q#797 - >WHL22.518579.1	superfamily	212170	42	156	1.0338e-32	118.07	cl00015	nt_trans superfamily	C	 - 
Q#798 - >WHL22.655013.0	superfamily	207183	216	483	9.20975e-21	92.1406	cl00738	MBOAT superfamily	 - 	 - 
Q#800 - >WHL22.767454.0	superfamily	206793	323	358	3.3052e-05	42.4682	cl00034	BBOX superfamily	 - 	 - 
Q#800 - >WHL22.767454.0	superfamily	206813	529	634	4.52763e-05	42.4111	cl00065	FN3 superfamily	 - 	 - 
Q#800 - >WHL22.767454.0	superfamily	210079	15	50	0.000454213	39.0457	cl15348	RING superfamily	 - 	 - 
Q#801 - >WHL22.548185.2	superfamily	212291	69	233	1.95357e-97	285.474	cl09099	P-loop_NTPase superfamily	 - 	 - 
Q#803 - >WHL22.323248.1	superfamily	207591	505	597	1.00333e-08	54.3161	cl02429	TPR superfamily	 - 	 - 
Q#803 - >WHL22.323248.1	superfamily	207591	652	753	8.45384e-08	51.6197	cl02429	TPR superfamily	 - 	 - 
Q#803 - >WHL22.323248.1	superfamily	207591	142	233	1.57867e-07	50.8493	cl02429	TPR superfamily	 - 	 - 
Q#803 - >WHL22.323248.1	superfamily	207591	349	447	9.37753e-07	48.1529	cl02429	TPR superfamily	 - 	 - 
Q#804 - >WHL22.21965.0	superfamily	207622	36	175	2.28008e-35	123.536	cl02512	NTR_like superfamily	 - 	 - 
Q#805 - >WHL22.766935.1	superfamily	210155	116	180	8.77591e-33	119.741	cl15755	SAM_superfamily superfamily	 - 	 - 
Q#806 - >WHL22.475831.1	superfamily	198675	1549	1751	1.49766e-60	208.654	cl02436	COLFI superfamily	 - 	 - 
Q#806 - >WHL22.475831.1	superfamily	206838	52	227	1.45109e-12	67.7705	cl00102	LamG superfamily	 - 	 - 
Q#806 - >WHL22.475831.1	superfamily	189968	686	743	7.26305e-06	45.5578	cl08321	Collagen superfamily	 - 	 - 
Q#806 - >WHL22.475831.1	superfamily	189968	1239	1298	0.000245721	40.9354	cl08321	Collagen superfamily	 - 	 - 
Q#806 - >WHL22.475831.1	superfamily	189968	829	912	0.00087446	39.3946	cl08321	Collagen superfamily	 - 	 - 
Q#806 - >WHL22.475831.1	superfamily	189968	928	978	0.0023831	38.239	cl08321	Collagen superfamily	 - 	 - 
Q#807 - >WHL22.742473.1	superfamily	212209	22	124	3.13785e-57	186.217	cl00388	Thioredoxin_like superfamily	 - 	 - 
Q#807 - >WHL22.742473.1	superfamily	212209	278	407	2.65687e-55	181.983	cl00388	Thioredoxin_like superfamily	 - 	 - 
Q#807 - >WHL22.742473.1	superfamily	212209	164	269	1.90064e-51	170.809	cl00388	Thioredoxin_like superfamily	 - 	 - 
Q#809 - >WHL22.532165.0	superfamily	208449	13	187	2.56695e-54	172.853	cl06336	Commd superfamily	 - 	 - 
Q#811 - >WHL22.499256.0	superfamily	208843	54	228	5.4535e-77	244.585	cl08275	RHD-n superfamily	 - 	 - 
Q#811 - >WHL22.499256.0	superfamily	210144	232	334	1.07319e-38	138.047	cl15674	IPT superfamily	 - 	 - 
Q#812 - >WHL22.490134.0	superfamily	192582	401	522	0.00754005	37.8072	cl12385	SOG2 superfamily	NC	 - 
Q#813 - >WHL22.74092.0	superfamily	212176	13	67	2.34873e-15	67.0097	cl00155	UBQ superfamily	 - 	 - 
Q#814 - >WHL22.673926.0	superfamily	147675	17	214	3.9481e-17	76.4164	cl05292	Miff superfamily	 - 	 - 
Q#815 - >WHL22.584491.0	superfamily	202009	44	92	4.50093e-17	70.9892	cl09271	NAC superfamily	 - 	 - 
Q#816 - >WHL22.62327.1	superfamily	148128	29	83	8.63076e-21	83.6216	cl05691	DUF1053 superfamily	N	 - 
Q#817 - >WHL22.698378.0	superfamily	212302	49	94	9.46246e-11	55.9412	cl09931	NADB_Rossmann superfamily	C	 - 
Q#818 - >WHL22.114702.1	superfamily	199167	84	190	0.00440263	37.1828	cl15309	LRR_RI superfamily	N	 - 
Q#819 - >WHL22.270941.0	superfamily	207652	64	244	1.23789e-32	121.566	cl02571	RhoGEF superfamily	 - 	 - 
Q#819 - >WHL22.270941.0	superfamily	206947	287	387	1.08546e-05	43.1446	cl00273	PH-like superfamily	 - 	 - 
Q#820 - >WHL22.541913.0	superfamily	212314	110	242	0.000217517	42.6861	cl11420	MFS superfamily	N	 - 
Q#821 - >WHL22.562201.0	superfamily	191362	121	173	1.13526e-30	109.283	cl05351	zf-nanos superfamily	 - 	 - 
Q#822 - >WHL22.2609.0	superfamily	207631	159	306	5.6357e-20	84.3631	cl02529	ANK superfamily	 - 	 - 
Q#822 - >WHL22.2609.0	superfamily	207631	284	381	7.79111e-11	58.9399	cl02529	ANK superfamily	 - 	 - 
Q#823 - >WHL22.564618.0	superfamily	113585	224	350	2.29335e-25	99.3207	cl04775	DUF716 superfamily	 - 	 - 
Q#824 - >WHL22.310016.0	superfamily	206813	64	134	2.50371e-08	47.6284	cl00065	FN3 superfamily	C	 - 
Q#824 - >WHL22.310016.0	superfamily	206813	3	51	0.00111019	34.7071	cl00065	FN3 superfamily	N	 - 
Q#827 - >WHL22.5040.0	superfamily	206810	52	148	1.38638e-06	43.8956	cl00062	FHA superfamily	 - 	 - 
Q#828 - >WHL22.663054.0	superfamily	211507	161	367	2.96441e-111	331.202	cl01529	GH99_GH71_like superfamily	C	 - 
Q#831 - >WHL22.275972.1	superfamily	199422	8	180	2.04033e-47	160.276	cl09938	cond_enzymes superfamily	C	 - 
Q#833 - >WHL22.256092.2	superfamily	204236	236	494	1.00624e-96	295.676	cl09658	XendoU superfamily	 - 	 - 
Q#833 - >WHL22.256092.2	superfamily	207618	113	149	6.40131e-08	49.3558	cl02508	Somatomedin_B superfamily	 - 	 - 
Q#833 - >WHL22.256092.2	superfamily	207618	155	191	3.78755e-07	47.0446	cl02508	Somatomedin_B superfamily	 - 	 - 
Q#833 - >WHL22.256092.2	superfamily	207618	192	228	2.77462e-06	44.7334	cl02508	Somatomedin_B superfamily	 - 	 - 
Q#833 - >WHL22.256092.2	superfamily	207618	24	63	2.09401e-05	42.037	cl02508	Somatomedin_B superfamily	 - 	 - 
Q#834 - >WHL22.47555.0	superfamily	156170	39	295	3.80821e-58	205.451	cl04593	RNA_pol_B_RPB2 superfamily	C	 - 
Q#834 - >WHL22.47555.0	superfamily	156170	360	469	7.51122e-33	131.492	cl04593	RNA_pol_B_RPB2 superfamily	NC	 - 
Q#837 - >WHL22.693611.0	superfamily	207050	45	157	2.54409e-26	98.0199	cl00447	Nudix_Hydrolase superfamily	 - 	 - 
Q#838 - >WHL22.245275.1	superfamily	207741	176	352	7.2904e-68	227.013	cl02808	RT_like superfamily	 - 	 - 
Q#838 - >WHL22.245275.1	superfamily	209893	457	577	1.63159e-45	161.489	cl14782	RNase_H superfamily	 - 	 - 
Q#838 - >WHL22.245275.1	superfamily	207376	787	899	1.24448e-22	95.4515	cl01316	rve superfamily	 - 	 - 
Q#839 - >WHL22.44353.1	superfamily	199386	247	292	2.07473e-08	51.0595	cl02573	TUDOR superfamily	 - 	 - 
Q#839 - >WHL22.44353.1	superfamily	207670	365	409	2.14767e-11	59.8662	cl02611	G-patch superfamily	 - 	 - 
Q#839 - >WHL22.44353.1	superfamily	199045	197	224	0.000778167	37.6117	cl11592	zf-CCCH superfamily	 - 	 - 
Q#840 - >WHL22.389442.0	superfamily	189477	20	331	2.90331e-144	418.245	cl02828	Calreticulin superfamily	 - 	 - 
Q#841 - >WHL22.393969.1	superfamily	212220	1	193	3.78402e-86	270.701	cl00456	SLC5-6-like_sbd superfamily	N	 - 
Q#842 - >WHL22.60674.0	superfamily	212314	107	481	5.54461e-32	125.504	cl11420	MFS superfamily	 - 	 - 
Q#843 - >WHL22.19911.0	superfamily	209141	51	396	3.44517e-152	437.634	cl10447	GH18_chitinase-like superfamily	 - 	 - 
Q#844 - >WHL22.359133.0	superfamily	202511	37	210	5.47888e-49	161.464	cl03844	Folate_rec superfamily	 - 	 - 
Q#845 - >WHL22.536973.0	superfamily	212291	383	592	3.12701e-24	102.862	cl09099	P-loop_NTPase superfamily	 - 	 - 
Q#845 - >WHL22.536973.0	superfamily	199386	1140	1186	1.74052e-08	52.9855	cl02573	TUDOR superfamily	 - 	 - 
Q#845 - >WHL22.536973.0	superfamily	212291	611	729	2.99136e-08	53.773	cl09099	P-loop_NTPase superfamily	 - 	 - 
Q#846 - >WHL22.310975.0	superfamily	144664	31	288	4.54882e-44	160.239	cl12245	Glypican superfamily	N	 - 
Q#848 - >WHL22.226117.2	superfamily	210146	60	381	3.96542e-49	178.051	cl15693	Sema superfamily	C	 - 
Q#849 - >WHL22.767555.2	superfamily	206787	18	197	3.5192e-98	290.206	cl00020	GAT_1 superfamily	 - 	 - 
Q#849 - >WHL22.767555.2	superfamily	206963	228	313	5.10546e-21	89.795	cl00292	AANH_like superfamily	C	 - 
Q#850 - >WHL22.623951.0	superfamily	200974	167	213	0.000243296	38.7146	cl15766	Pyr_redox superfamily	N	 - 
Q#851 - >WHL22.566997.0	superfamily	209870	33	169	5.27395e-20	81.7004	cl14606	Reeler_cohesin_like superfamily	 - 	 - 
Q#852 - >WHL22.205830.0	superfamily	207631	524	653	1.01331e-28	113.638	cl02529	ANK superfamily	 - 	 - 
Q#852 - >WHL22.205830.0	superfamily	207631	107	248	1.12098e-23	99.0007	cl02529	ANK superfamily	 - 	 - 
Q#852 - >WHL22.205830.0	superfamily	207631	296	438	6.49678e-23	97.0747	cl02529	ANK superfamily	 - 	 - 
Q#852 - >WHL22.205830.0	superfamily	207631	383	550	3.8801e-10	59.3251	cl02529	ANK superfamily	 - 	 - 
Q#852 - >WHL22.205830.0	superfamily	203839	1006	1098	0.00166473	41.1751	cl10691	PKD_channel superfamily	N	 - 
Q#853 - >WHL22.616098.3	superfamily	207660	44	104	1.25707e-09	51.4409	cl02586	RRM superfamily	 - 	 - 
Q#854 - >WHL22.667290.2	superfamily	210176	2	324	0.00913405	36.4904	cl15776	Aa_trans superfamily	 - 	 - 
Q#855 - >WHL22.113163.2	superfamily	208449	92	177	2.4191e-32	112.865	cl06336	Commd superfamily	 - 	 - 
Q#856 - >WHL22.51367.0	superfamily	209905	140	640	1.59589e-154	461.773	cl14813	GluZincin superfamily	C	 - 
Q#858 - >WHL22.589244.1	superfamily	149409	4	346	5.44501e-155	450.69	cl08477	Plexin_cytopl superfamily	N	 - 
Q#859 - >WHL22.40927.0	superfamily	209429	43	183	7.20612e-40	135.448	cl12045	Ubiq_cyt_C_chap superfamily	 - 	 - 
Q#861 - >WHL22.78047.0	superfamily	207631	134	252	6.73077e-23	94.7635	cl02529	ANK superfamily	 - 	 - 
Q#861 - >WHL22.78047.0	superfamily	201187	374	495	1.85744e-17	78.8677	cl09511	FERM_M superfamily	 - 	 - 
Q#862 - >WHL22.263426.0	superfamily	128974	14	39	1.09936e-07	46.8272	cl00302	ZM superfamily	 - 	 - 
Q#864 - >WHL22.685955.1	superfamily	212291	1199	1455	2.71432e-13	70.7352	cl09099	P-loop_NTPase superfamily	 - 	 - 
Q#864 - >WHL22.685955.1	superfamily	212291	274	333	0.00787248	36.8128	cl09099	P-loop_NTPase superfamily	C	 - 
Q#865 - >WHL22.380990.2	superfamily	207631	432	551	1.72053e-22	94.7635	cl02529	ANK superfamily	 - 	 - 
Q#865 - >WHL22.380990.2	superfamily	198567	84	127	6.44295e-14	67.5971	cl00295	ZZ superfamily	 - 	 - 
Q#865 - >WHL22.380990.2	superfamily	207631	492	655	2.72111e-13	67.7995	cl02529	ANK superfamily	 - 	 - 
Q#865 - >WHL22.380990.2	superfamily	207631	595	734	1.68886e-09	56.6287	cl02529	ANK superfamily	 - 	 - 
Q#865 - >WHL22.380990.2	superfamily	115363	8	76	1.01102e-18	82.0345	cl05972	MIB_HERC2 superfamily	 - 	 - 
Q#865 - >WHL22.380990.2	superfamily	210144	163	230	0.00868913	35.4747	cl15674	IPT superfamily	 - 	 - 
Q#866 - >WHL22.692558.0	superfamily	212314	85	230	2.10823e-11	64.2573	cl11420	MFS superfamily	C	 - 
Q#866 - >WHL22.692558.0	superfamily	212314	292	477	8.90751e-09	55.7829	cl11420	MFS superfamily	N	 - 
Q#867 - >WHL22.593609.1	superfamily	210155	325	395	3.83005e-36	133.574	cl15755	SAM_superfamily superfamily	 - 	 - 
Q#867 - >WHL22.593609.1	superfamily	210155	259	324	7.63996e-32	121.212	cl15755	SAM_superfamily superfamily	 - 	 - 
Q#868 - >WHL22.482970.0	superfamily	207651	1139	1334	1.01561e-110	351.888	cl02570	RhoGAP superfamily	 - 	 - 
Q#868 - >WHL22.482970.0	superfamily	206846	73	184	3.05654e-14	71.037	cl00117	PDZ superfamily	 - 	 - 
Q#868 - >WHL22.482970.0	superfamily	206947	943	1033	1.15137e-10	60.9061	cl00273	PH-like superfamily	 - 	 - 
Q#869 - >WHL22.239223.0	superfamily	212336	2	352	0	597.266	cl11961	ALDH-SF superfamily	 - 	 - 
Q#870 - >WHL22.228126.3	superfamily	206846	542	619	2.13052e-15	73.3482	cl00117	PDZ superfamily	 - 	 - 
Q#870 - >WHL22.228126.3	superfamily	206846	896	977	8.61053e-12	62.9478	cl00117	PDZ superfamily	 - 	 - 
Q#870 - >WHL22.228126.3	superfamily	206846	71	151	1.05846e-11	62.5626	cl00117	PDZ superfamily	 - 	 - 
Q#870 - >WHL22.228126.3	superfamily	206846	344	427	1.96641e-10	58.7107	cl00117	PDZ superfamily	 - 	 - 
Q#870 - >WHL22.228126.3	superfamily	206846	169	252	3.9209e-09	54.8587	cl00117	PDZ superfamily	 - 	 - 
Q#870 - >WHL22.228126.3	superfamily	206846	451	523	4.25173e-09	54.8587	cl00117	PDZ superfamily	 - 	 - 
Q#870 - >WHL22.228126.3	superfamily	206846	2	51	3.00642e-06	46.3843	cl00117	PDZ superfamily	N	 - 
Q#872 - >WHL22.562864.0	superfamily	212343	63	518	9.88779e-53	187.237	cl12078	CypX superfamily	 - 	 - 
Q#873 - >WHL22.366016.0	superfamily	198981	2	432	0	956.742	cl10017	Tubulin_FtsZ superfamily	 - 	 - 
Q#875 - >WHL22.231055.1	superfamily	208857	16	81	3.46075e-20	86.4234	cl08302	EFh superfamily	 - 	 - 
